timestamp,total_epochs,pretrained_base_mse,finetuned_mse
2026-08-29T13:14:52,1,0.012900,0.009165
2026-08-29T16:11:08,2,0.012900,0.008869
2026-08-30T03:12:02,3,0.012900,0.008771
2026-08-30T10:18:42,3,0.012900,0.008771
2026-08-30T17:26:44,5,0.012900,0.008389
2026-08-31T01:32:33,6,0.012900,0.008265
2026-08-31T07:37:57,7,0.012900,0.008398
2026-08-31T14:46:40,8,0.012900,0.008362
2026-09-01T14:07:16,10,0.012900,0.008830
