symbol,horizon_days,last_close,pred_close,actual_close,pred_return,actual_return
sh.600066,5,22.75504755,20.989693,23.34377085,-0.07758080303425774,0.0258722069776558
sh.600630,5,9.2280996,9.126215,9.1783256,-0.011040693462053497,-0.005393743257820827
sz.300506,5,2.67732835,1.7838607,2.59436888,-0.33371613405536815,-0.030985915492957594
sh.688716,5,37.66308403,36.783775,35.84466171,-0.023346699375700553,-0.04828129099973766
sh.600834,5,8.2604588,7.785899,8.44955364,-0.057449549619147056,0.02289156626506017
sh.603223,5,8.843562,8.651846,8.61755986,-0.021678602806557423,-0.025555555555555554
sz.300778,5,10.94,10.524632,11.7,-0.03796778300562542,0.06946983546617913
sh.600269,5,4.75813376,4.259978,4.88823898,-0.10469565749757304,0.02734375
sh.603637,5,9.59633422,8.788935,9.82178436,-0.08413624347051951,0.023493360572012456
sz.300253,5,12.1371939,13.067492,11.16821628,0.07664849379823035,-0.07983539094650205
sz.300917,5,47.8416942,39.05709,45.86305623,-0.18361815123015968,-0.041358024691358075
sh.600855,5,11.85,11.027128,11.55,-0.06944065657346055,-0.025316455696202445
sz.301327,5,55.2483261,50.978497,57.5148519,-0.07728432424826581,0.041024334310103105
sh.603348,5,25.79211264,20.49883,25.27587328,-0.20522870377445412,-0.02001539645881445
sh.603898,5,10.46642026,10.205913,9.93019,-0.024889853789718197,-0.05123339658444026
sh.688689,5,24.37389726,22.04876,23.63169576,-0.09539458440922222,-0.030450669914738104
sh.605289,5,18.59783056,15.829431,17.96316533,-0.14885607065455697,-0.03412576687116564
sh.603982,5,8.83,8.233945,9.14,-0.06750340963949031,0.035107587768969495
sh.688175,5,14.17583396,13.175224,13.67227904,-0.07058559366766037,-0.035522066738428504
sh.688608,5,248.79340348,230.74939,246.05807932,-0.0725260942580136,-0.010994359664442954
sz.300358,5,7.75,7.3194027,7.48,-0.055560942619077625,-0.03483870967741931
sh.688410,5,10.38715656,8.719462,10.83402276,-0.16055348310699225,0.04302103250478018
sh.603127,5,21.85082001,20.026804,21.03153915,-0.08347586217946634,-0.03749428440786462
sh.601686,5,5.35899425,5.323896,5.29375432,-0.006549422730973031,-0.012173913043478368
sz.301252,5,27.52830484,27.79401,25.57076681,0.009652077158323058,-0.07111000991080285
sz.301498,5,96.6998451,82.8805,88.95989844,-0.14290968400468484,-0.08004094165813713
sh.688627,5,73.91443626,74.4955,70.5085164,0.007861284298815718,-0.0460792239288601
sh.688361,5,92.83,85.70353,85.92,-0.07676904709781152,-0.07443714316492511
sh.603583,5,46.33266124,46.04664,41.62003488,-0.0061732424509114425,-0.10171283569465006
sz.300788,5,33.07248,30.68446,31.743675,-0.07220566204048506,-0.0401785714285714
sh.603986,5,129.33653871,113.64655,123.08329779,-0.12131131563393316,-0.048348602663792484
sz.300953,5,86.93654364,86.625656,83.73243114,-0.0035760279745843393,-0.03685576129260515
sh.605166,5,12.80902896,12.459854,12.76949492,-0.02726005500603046,-0.0030864197530864335
sh.688256,5,508.3148,403.347,459.39453,-0.2065015914089433,-0.09624010554089713
sz.300582,5,14.0412486,12.833579,13.6824942,-0.08600869986622639,-0.025550035486160305
sh.600606,5,1.87,1.7167436,1.83,-0.08195530029541676,-0.021390374331550777
sh.603927,5,22.47649528,21.797215,21.195152,-0.030221827890925534,-0.057008144020574414
sh.603291,5,14.47792074,10.410477,14.01276666,-0.2809411743906044,-0.032128514056224855
sh.600479,5,10.219968,9.794006,10.06512,-0.04167935284569868,-0.015151515151515138
sh.603897,5,22.42569609,21.758938,23.00747337,-0.029731886654968065,0.025942440210782403
sh.688251,5,17.345039,16.038485,19.578416,-0.07532726946510426,0.12876171682289095
sh.605198,5,36.57482484,23.336401,36.69418788,-0.3619545387351806,0.0032635300516725696
sh.603375,5,41.97475792,33.02394,40.1992097,-0.21324284697532658,-0.04230038022813698
sh.600713,5,4.7884815,4.635017,4.8465237,-0.03204869473080907,0.0121212121212122
sh.600975,5,6.32,5.7304683,6.16,-0.09328033652486689,-0.025316455696202556
sz.300796,5,10.19,9.960013,10.06,-0.022569834191618954,-0.012757605495583801
sh.600755,5,6.078888,5.7563043,6.078888,-0.053066241051224594,0.0
sh.688131,5,41.08540608,41.346603,40.9062546,0.006357423194165213,-0.0043604651162790775
sh.688048,5,64.29,56.671707,60.12,-0.11849887768983813,-0.06486234251049938
sh.600990,5,22.34,19.177174,21.46,-0.14157683014762967,-0.03939122649955229
sh.600249,5,5.4216164,5.0403085,5.39177264,-0.07033104085077191,-0.0055045871559632475
sh.605056,5,14.00481964,11.870171,13.44922488,-0.15242245895415762,-0.03967168262653897
sz.300773,5,13.2332245,11.221773,12.2450516,-0.152000092828244,-0.07467362924281984
sh.603383,5,37.66044612,35.116146,35.46775416,-0.06755894564409681,-0.05822267620020438
sz.300985,5,17.83,16.875507,18.41,-0.05353295823127713,0.03252944475602937
sh.600995,5,9.4828855,9.174587,9.5809505,-0.032511016846522134,0.010341261633919352
sh.601021,5,50.76252984,47.752773,50.2154356,-0.05929090934936532,-0.010777521170130866
sz.300662,5,33.7227996,28.946018,34.56832752,-0.14164842295613744,0.025072886297375918
