cutoff,n,rank_ic,long_ret,short_ret,ls_spread,avg_pred_bias
2025-01-15,120,-0.06439694492152374,0.0027863166525364195,0.032303843710350284,-0.029517527057813867,-0.22634710370260097
2025-03-01,120,-0.014544090750539754,0.040326085624963065,0.05918156160004918,-0.018855475975086113,-0.255263024670467
2025-04-15,120,0.05988662308912975,0.0078074917223677,0.015618825428408388,-0.007811333706040688,-0.15881991241664783
2025-06-01,120,-0.06344619439200735,0.03130686286513115,0.08095826309972738,-0.04965140023459623,-0.17695381495181234
2025-07-15,120,0.07581345283593233,0.05837008813621947,0.0612378371390627,-0.0028677490028432354,-0.17385882655819596
2025-09-01,120,-0.06317489268079508,-0.04222403003566652,0.038147154640379224,-0.08037118467604575,-0.16415273224711333
2025-10-15,120,-0.028457331369859312,0.03866063484530654,0.04353149724883737,-0.00487086240353083,-0.12513284435143565
2025-12-01,120,0.05794509678649053,-0.008416928880595694,-0.031524864401480085,0.02310793552088439,-0.1401201214083194
2026-01-15,120,0.02636012294460067,0.002793745014357187,0.013959119870676821,-0.011165374856319634,-0.15290017837844794
2026-03-01,120,0.12127336337497199,-0.05531513353535273,-0.07738157187973202,0.02206643834437929,-0.12074598186158045
2026-04-15,120,0.03713587726168497,0.043236221063237164,0.05338812469837748,-0.010151903635140319,-0.08786908155125757
