symbol,horizon_days,last_close,pred_close,actual_close,pred_return,actual_return
sh.601825,10,7.66072439,6.8546486,7.88968751,-0.10522187705438513,0.0298879202988791
sh.600031,10,19.62581376,18.743809,18.438112,-0.04494106712964696,-0.06051732552464617
sh.600630,10,9.2280996,7.81019,9.009094,-0.15365128906869796,-0.02373247033441217
sh.603530,10,26.87198656,22.748327,26.69622502,-0.15345569243805757,-0.006540697674418561
sh.688789,10,78.60232085,60.97967,75.08473113,-0.2242001149731766,-0.044751728472658736
sz.301076,10,17.54233755,12.569911,15.867441,-0.28345290544743884,-0.09547738693467334
sh.600637,10,7.88827071,6.0999165,7.62629862,-0.22671055768953408,-0.03321033210332103
sz.300323,10,7.72,4.7285385,7.42,-0.38749501124564845,-0.03886010362694303
sh.605555,10,19.3746303,10.922694,18.05329536,-0.43623728364830816,-0.06819923371647507
sz.301587,10,24.2353485,22.80855,22.8644601,-0.05887262644556379,-0.0565656565656566
sh.605488,10,37.4636443,39.19106,31.8302275,0.046109097094668705,-0.1503702297322954
sz.301516,10,17.91,16.146442,16.5,-0.09846776028307769,-0.07872696817420433
sh.600033,10,3.51653808,3.2414396,3.66943104,-0.07822992182204425,0.04347826086956519
sh.600510,10,5.29753632,3.9929848,5.09912672,-0.24625627262740202,-0.03745318352059923
sz.300737,10,4.85024925,3.9201698,4.58233072,-0.19175909767477095,-0.05523809523809531
sz.300528,10,9.32,7.7872763,8.79,-0.16445533605092588,-0.056866952789699665
sz.300653,10,21.9532746,18.454296,21.88602168,-0.15938298735348821,-0.0030634573304157975
sz.300369,10,8.34,6.803882,7.38,-0.18418679591848985,-0.1151079136690647
sz.301152,10,28.69,26.029636,26.49,-0.09272790578401391,-0.07668177065179516
sh.600307,10,1.54,1.2184999,1.5,-0.2087662994087517,-0.025974025974025983
sh.603036,10,14.07227216,10.288364,14.20833004,-0.26889102957767197,0.00966850828729271
sh.600379,10,9.94563404,8.160623,9.72770182,-0.17947688765544778,-0.021912350597609542
sh.688543,10,38.5886277,25.460411,33.75999837,-0.3402094713055229,-0.12513089005235611
sh.600343,10,11.87,8.302357,11.08,-0.30055966975815473,-0.06655433866891314
sh.600066,10,22.75504755,19.292929,23.7808533,-0.1521472915718557,0.04508036064288512
